stationid	new_part	shahrestan	subbasin_i	Longitude	Latitude	new_elevation
88122	1	259	527	57.599821	36.171258	921
88125	2	313	365	50.839754	35.76476	1280
88132	2	83	356	49.839549	34.133477	1659
88150	1	278	460	56.897395	33.667927	693
88170	1	206	555	56.045683	30.3042	1595
88172	2	331	168	50.271893	29.838403	6
88175	1	210	435	55.663015	29.551103	1759
88179	1	202	476	58.451313	29.078673	965
88180	1	203	438	57.671767	28.729199	788
88184	2	369	207	53.592065	28.586278	1029
88187	2	327	186	52.356366	27.815565	659
88188	1	332	258	52.7427	27.38314	11
88190	1	386	255	53.203339	27.364309	407
90220	2	314	338	50.55	35.933	1179
90700	1	0	0	52.45	28.79	1280
99202	2	316	0	48.319175	39.364599	97
99203	2	33	9	45.078544	39.330534	770
99209	2	35	11	44.407523	39.059898	1880
99214	2	36	7	45.007544	38.909806	1163
99220	2	357	6	45.77035	38.381688	1540
99226	2	362	3	46.667476	38.504305	1681
99227	2	353	330	45.683523	38.171791	1398
99228	2	360	327	47.103313	38.267421	1969
99231	2	318	2	48.080179	38.146536	1670
99232	2	321	2	48.491377	38.41959	1481
99233	2	322	2	48.024952	38.036567	1592
99234	2	349	326	46.343922	38.053395	1518
99236	2	354	323	45.865073	37.509057	1303
99237	2	419	33	55.383976	37.224401	207
99239	2	348	322	46.052206	37.370008	1285
99240	2	422	33	55.212675	37.26674	39
99241	2	420	33	54.353024	36.876064	15
99242	2	412	33	54.059949	36.905009	-25
99244	2	349	326	46.046589	37.975862	1324
99245	2	238	38	57.101587	37.939831	1281
99246	2	20	309	45.000643	37.888422	1326
99248	2	347	328	46.843903	37.851649	1757
99249	2	404	13	48.897504	37.839411	9
99256	2	20	309	44.977509	37.659451	1375
99262	2	241	40	56.945274	37.565515	765
